review_id,label,flashcard_id,snapshot_at,outcome,exit_pips,max_favorable_pips,max_adverse_pips,t1_hit,image_path
C01,loser,6208,2024-10-14T11:00:00+00:00,STALE_EXIT,-1.4999999999986358,4.500000000001592,7.399999999998386,False,images/c01_fc6208_20241014T110000.png
C02,loser,6365,2025-09-15T08:30:00+00:00,BREAKEVEN_AFTER_T1,0.0,9.199999999998454,4.500000000001592,True,images/c02_fc6365_20250915T083000.png
C03,loser,1804,2024-04-08T11:15:00+00:00,STALE_EXIT,-3.100000000000591,1.8999999999977035,11.50000000000091,False,images/c03_fc1804_20240408T111500.png
C04,winner,6470,2026-02-16T08:00:00+00:00,TIME_EXIT_PROFIT,42.70000000000209,46.299999999999386,9.399999999999409,False,images/c04_fc6470_20260216T080000.png
C05,winner,6097,2024-05-13T08:30:00+00:00,TIME_EXIT_PROFIT,26.200000000000045,33.69999999999891,4.500000000001592,False,images/c05_fc6097_20240513T083000.png
C06,loser,6366,2025-09-15T10:00:00+00:00,STALE_EXIT,-6.60000000000025,5.60000000000116,9.299999999998931,False,images/c06_fc6366_20250915T100000.png
C07,winner,6385,2025-09-22T12:00:00+00:00,TIME_EXIT_PROFIT,18.39999999999975,31.30000000000166,0.0,False,images/c07_fc6385_20250922T120000.png
C08,winner,6207,2024-10-14T09:30:00+00:00,TIME_EXIT_PROFIT,24.099999999998545,30.000000000001137,8.899999999999864,True,images/c08_fc6207_20241014T093000.png
C09,winner,6354,2025-09-01T08:30:00+00:00,TIME_EXIT_PROFIT,24.399999999999977,37.79999999999859,7.400000000001228,False,images/c09_fc6354_20250901T083000.png
C10,loser,6057,2024-04-08T11:00:00+00:00,STALE_EXIT,-8.400000000000318,0.49999999999954525,17.300000000000182,False,images/c10_fc6057_20240408T110000.png
C11,winner,6045,2024-03-18T08:30:00+00:00,TIME_EXIT_PROFIT,26.99999999999818,31.89999999999884,3.300000000001546,False,images/c11_fc6045_20240318T083000.png
C12,winner,5942,2023-12-18T08:00:00+00:00,TIME_EXIT_PROFIT,28.999999999999204,39.19999999999959,5.60000000000116,False,images/c12_fc5942_20231218T080000.png
