review_id,label,flashcard_id,snapshot_at,outcome,exit_pips,max_favorable_pips,max_adverse_pips,t1_hit,image_path
C01,winner,48267,2025-11-26T17:15:00+00:00,TIME_EXIT_PROFIT,1118.99999999996,1494.9999999999818,101.00000000002183,False,images/c01_fc48267_20251126T171500.png
C02,loser,43353,2025-10-08T15:15:00+00:00,STALE_EXIT,-200.0,924.0000000000236,1389.9999999999636,False,images/c02_fc43353_20251008T151500.png
C03,loser,43331,2025-10-07T09:15:00+00:00,LOSS,-844.0000000000055,44.00000000000546,1011.0000000000127,False,images/c03_fc43331_20251007T091500.png
C04,winner,42968,2025-09-02T04:00:00+00:00,TRAIL_STOP,463.99999999998727,1990.9999999999854,65.0000000000091,True,images/c04_fc42968_20250902T040000.png
C05,loser,48482,2025-12-17T15:00:00+00:00,BREAKEVEN_AFTER_T1,0.0,2288.000000000011,27.999999999974534,True,images/c05_fc48482_20251217T150000.png
C06,winner,43051,2025-09-09T02:30:00+00:00,TARGET_2,730.0000000001319,1009.9999999999909,8.000000000038199,True,images/c06_fc43051_20250909T023000.png
C07,winner,48531,2025-12-23T01:00:00+00:00,TRAIL_STOP,1235.0000000000364,1478.9999999999964,225.0,True,images/c07_fc48531_20251223T010000.png
C08,loser,48230,2025-11-21T09:00:00+00:00,LOSS,-1531.999999999971,523.9999999999782,173.00000000000182,False,images/c08_fc48230_20251121T090000.png
C09,loser,48524,2025-12-22T15:30:00+00:00,STALE_EXIT,-787.99999999992,516.0000000000764,992.9999999999382,False,images/c09_fc48524_20251222T153000.png
C10,winner,43329,2025-10-07T06:15:00+00:00,TRAIL_STOP,901.9999999999982,1194.0000000000055,57.999999999992724,True,images/c10_fc43329_20251007T061500.png
C11,winner,48294,2025-11-28T15:45:00+00:00,TRAIL_STOP,1476.9999999999527,2642.0000000000073,1.9999999999527063,True,images/c11_fc48294_20251128T154500.png
