review_id,label,flashcard_id,snapshot_at,outcome,exit_pips,max_favorable_pips,max_adverse_pips,t1_hit,image_path
C01,winner,34706,2025-04-21T03:00:00+00:00,TRAIL_STOP,2658.999999999969,3038.9999999999873,178.00000000002,True,images/c01_fc34706_20250421T030000.png
C02,winner,29763,2024-09-23T15:45:00+00:00,TIME_EXIT_PROFIT,225.0,780.0000000000182,142.99999999998363,False,images/c02_fc29763_20240923T154500.png
C03,winner,30046,2024-10-29T15:00:00+00:00,TRAIL_STOP,1465.9999999999854,1863.000000000011,483.9999999999691,True,images/c03_fc30046_20241029T150000.png
C04,winner,29585,2024-08-29T17:45:00+00:00,TIME_EXIT_PROFIT,372.00000000002547,653.9999999999964,466.9999999999618,False,images/c04_fc29585_20240829T174500.png
C05,loser,27122,2024-07-08T07:15:00+00:00,BREAKEVEN_AFTER_T1,0.0,342.99999999998363,75.0,True,images/c05_fc27122_20240708T071500.png
C06,winner,34469,2025-03-13T12:00:00+00:00,TIME_EXIT_PROFIT,373.0000000000018,698.0000000000018,19.000000000005457,False,images/c06_fc34469_20250313T120000.png
C07,loser,27120,2024-07-08T04:15:00+00:00,LOSS,-480.0000000000182,11.000000000012733,548.9999999999782,False,images/c07_fc27120_20240708T041500.png
C08,winner,34690,2025-04-15T19:00:00+00:00,TIME_EXIT_PROFIT,877.9999999999745,880.9999999999945,347.00000000002547,False,images/c08_fc34690_20250415T190000.png
C09,loser,32525,2025-01-16T05:00:00+00:00,STALE_EXIT,-112.00000000003456,151.99999999999818,156.00000000004002,False,images/c09_fc32525_20250116T050000.png
C10,winner,27411,2024-08-14T07:15:00+00:00,TRAIL_STOP,763.0000000000109,888.0000000000109,208.99999999996908,True,images/c10_fc27411_20240814T071500.png
C11,loser,27124,2024-07-08T10:15:00+00:00,AMBIGUOUS,-104.99999999997272,132.00000000001637,142.99999999998363,False,images/c11_fc27124_20240708T101500.png
