review_id,label,flashcard_id,snapshot_at,outcome,exit_pips,max_favorable_pips,max_adverse_pips,t1_hit,image_path
C01,loser,4540,2024-02-19T08:15:00+00:00,TIME_EXIT_LOSS,-12.20000000000141,9.600000000000364,29.000000000002046,False,images/c01_fc4540_20240219T081500.png
C02,loser,718,2024-01-22T12:00:00+00:00,TIME_EXIT_LOSS,-17.599999999998772,6.299999999998818,23.799999999999955,False,images/c02_fc718_20240122T120000.png
C03,winner,4559,2024-02-26T12:45:00+00:00,TIME_EXIT_PROFIT,11.599999999998545,33.899999999999864,6.800000000001205,False,images/c03_fc4559_20240226T124500.png
C04,winner,648,2023-09-25T11:00:00+00:00,TIME_EXIT_PROFIT,13.100000000000023,32.30000000000075,22.59999999999991,False,images/c04_fc648_20230925T110000.png
C05,winner,4881,2025-12-08T08:15:00+00:00,TIME_EXIT_PROFIT,16.0000000000025,18.500000000000227,14.099999999999113,False,images/c05_fc4881_20251208T081500.png
C06,winner,4412,2023-09-25T11:15:00+00:00,TRAIL_STOP,17.499999999998295,38.30000000000098,16.59999999999968,True,images/c06_fc4412_20230925T111500.png
C07,winner,513,2025-12-08T08:00:00+00:00,TIME_EXIT_PROFIT,21.60000000000082,27.700000000001523,4.200000000000159,False,images/c07_fc513_20251208T080000.png
C08,winner,4486,2023-11-13T09:45:00+00:00,TIME_EXIT_PROFIT,17.600000000001614,25.499999999999545,7.099999999999795,False,images/c08_fc4486_20231113T094500.png
C09,loser,4616,2024-04-22T12:15:00+00:00,LOSS,-23.500000000001364,1.8000000000000682,28.49999999999966,False,images/c09_fc4616_20240422T121500.png
C10,winner,4874,2025-11-17T11:00:00+00:00,TIME_EXIT_PROFIT,45.599999999998886,58.099999999998886,5.400000000000205,False,images/c10_fc4874_20251117T110000.png
C11,winner,4690,2024-10-14T09:45:00+00:00,TIME_EXIT_PROFIT,29.599999999999227,35.40000000000134,6.700000000000728,False,images/c11_fc4690_20241014T094500.png
C12,loser,4889,2025-12-22T11:15:00+00:00,STALE_EXIT,-12.90000000000191,28.49999999999966,46.20000000000175,False,images/c12_fc4889_20251222T111500.png
C13,loser,4772,2025-08-18T08:00:00+00:00,TIME_EXIT_LOSS,-21.999999999999886,8.400000000000318,51.09999999999957,False,images/c13_fc4772_20250818T080000.png
